player_id,GP,G,A,PTS,SH,GW,GB,DC,TO,CT,FOULS
Player A,19,30,46,76,77,1,6,0,41,2,9
Player B,19,32,11,43,72,4,6,8,16,5,6
Player C,19,34,7,41,71,2,27,13,31,9,8
Player D,19,20,10,30,41,0,8,1,16,0,2
Player E,19,21,6,27,46,0,25,31,27,13,26
Player F,19,21,2,23,50,1,11,24,26,10,29
Player G,19,16,4,20,46,0,23,39,8,11,30
Player H,19,14,5,19,34,0,15,13,14,8,15
Player I,12,14,2,16,31,0,5,0,10,1,2
Player J,3,10,6,16,18,1,2,5,7,1,1
Player K,15,3,9,12,12,0,8,0,7,2,4
Player L,19,8,2,10,12,0,22,11,11,13,14
Player M,15,6,1,7,13,1,1,1,4,0,0
Player N,3,2,1,3,3,0,1,0,1,0,0
Player O,5,1,0,1,1,0,1,0,0,0,2
Player P,17,1,0,1,3,0,1,75,4,0,17
Player Q,6,1,0,1,3,0,0,0,2,0,0
Player R,2,0,0,0,0,0,0,0,0,0,1
Player S,19,0,0,0,2,0,34,13,5,12,51
Player T,4,0,0,0,0,0,1,0,0,0,0
Player U,5,0,0,0,0,0,2,0,2,0,3
Player V,5,0,0,0,0,0,0,0,0,0,1
Player W,16,0,0,0,0,0,14,2,7,13,46
Player X,19,0,0,0,0,0,28,0,8,2,0
Player Y,3,0,0,0,0,0,1,0,0,0,0
Player Z,12,0,0,0,0,0,6,0,2,2,15
Player [,6,0,0,0,2,0,7,1,1,8,9
Player \,1,0,0,0,0,0,0,0,0,0,0
Player ],2,0,0,0,0,0,0,0,0,0,0
Player ^,1,0,0,0,0,0,0,0,0,0,0
Player _,8,0,0,0,1,0,5,1,2,1,16
Player `,19,0,0,0,0,0,34,1,3,40,51
Player a,15,1,0,1,0,0,1,1,15,0,15
